34.055335,-118.441726
34.055024,-118.441544
34.054864,-118.441372
34.054651,-118.441222
34.054402,-118.440964
34.054242,-118.440814
34.054099,-118.44068
34.053957,-118.440557
34.053797,-118.440406
34.053602,-118.440256
34.053317,-118.439999
34.053162,-118.439891
34.052908,-118.43965
34.052642,-118.439484
34.052304,-118.439183
34.052153,-118.439054
34.051953,-118.438888
34.051855,-118.43877
34.051628,-118.438582
34.05129,-118.438282
34.050988,-118.437982
34.050686,-118.437681
34.050384,-118.437424
34.050046,-118.437166
34.049708,-118.436909
34.04937,-118.436651
34.049068,-118.436394
34.048944,-118.436244
34.048748,-118.436029
