34.052899,-118.437145
34.052713,-118.43707
34.052553,-118.437037
34.052402,-118.437048
34.052304,-118.43708
34.052162,-118.437134
34.052046,-118.437145
34.052055,-118.437236
34.052095,-118.437333
34.052115,-118.437464
34.052157,-118.437611
34.052184,-118.437759
34.052159,-118.437834
34.052126,-118.437936
34.052102,-118.438038
34.052062,-118.438134
34.052006,-118.438303
34.051915,-118.438526
34.051842,-118.438776
34.051739,-118.438684
34.051655,-118.438625
34.051619,-118.438582
34.051522,-118.438523
34.051442,-118.43843
34.051346,-118.438336
34.051288,-118.438277
34.051133,-118.438159
34.050995,-118.438014
34.050855,-118.43789
34.050682,-118.437743
34.050564,-118.437638
34.050428,-118.437499
